SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1225 Martha Custis Dr #1001,Alexandria,VA,22302,245000,1,1.0,Parkeast,917,,1980,6,267,570,Active,,,http://www.redfin.com/VA/Alexandria/1225-Martha-Custis-Dr-22302/unit-1001/home/11863154,MRIS,AX10211015,N,Y,38.8424553,-77.080145
MLS Listing,,Condo/Co-op,6001 Arlington Blvd Unit T15,Falls Church,VA,22044,189999,1,1.0,Woodlake Towers,675,,1970,6,281,419,Active,,,http://www.redfin.com/VA/Falls-Church/6001-Arlington-Blvd-22044/unit-T15/home/9568665,MRIS,FX10210656,N,Y,38.8651068,-77.1375957
MLS Listing,,Condo/Co-op,989 Buchanan St S #208,Arlington,VA,22204,262084,1,1.0,Trafalgar Flats,453,,2018,6,579,192,Active,,,http://www.redfin.com/VA/Arlington/989-S-Buchanan-St-22204/unit-208/home/145331581,MRIS,AR10210503,N,Y,38.8569451,-77.1086145
MLS Listing,,Condo/Co-op,3100 Manchester St #502,Falls Church,VA,22044,215000,2,2.0,Woodlake Towers,1067,,1972,6,201,698,Active,,,http://www.redfin.com/VA/Falls-Church/3100-S-Manchester-St-22044/unit-502/home/9569503,MRIS,FX10210249,N,Y,38.864211,-77.1363716
MLS Listing,,Condo/Co-op,5301 Westbard Cir #119,Bethesda,MD,20816,325000,2,1.0,Kenwood Place Codm,1267,,1960,6,257,784,Active,April-22-2018 02:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/MD/Bethesda/5301-Westbard-Cir-20816/unit-119/home/10690889,MRIS,MC10210129,N,Y,38.9638326,-77.1092334
MLS Listing,,Condo/Co-op,4007 Connecticut Ave NW #405,Washington,DC,20008,395000,1,1.0,Cleveland Park,700,,1930,7,564,359,Active,April-22-2018 01:00 PM,April-22-2018 03:00 PM,http://www.redfin.com/DC/Washington/4007-Connecticut-Ave-NW-20008/unit-405/home/10183885,MRIS,DC10210084,N,Y,38.9412597,-77.0613484
MLS Listing,,Condo/Co-op,3705 George Mason Dr S Unit 2002S,Falls Church,VA,22041,210000,1,1.0,Skyline Plaza,956,,1975,7,220,469,Active,April-22-2018 01:00 PM,April-22-2018 03:00 PM,http://www.redfin.com/VA/Falls-Church/3705-S-George-Mason-Dr-22041/unit-2002S/home/9658608,MRIS,FX10209866,N,Y,38.84292,-77.1137662
MLS Listing,,Condo/Co-op,26 Old Glebe Rd Unit 306-B,Arlington,VA,22204,199900,1,1.0,Arbors Of Arlington,663,,1942,7,302,316,Active,April-22-2018 01:00 PM,April-22-2018 03:00 PM,http://www.redfin.com/VA/Arlington/26-S-Old-Glebe-Rd-22204/unit-306-B/home/11262183,MRIS,AR10209786,N,Y,38.8698308,-77.0984666
MLS Listing,,Condo/Co-op,1121 University Blvd Unit 318-B,Silver Spring,MD,20902,150000,2,2.0,University Towers Codm,1078,,1967,7,139,828,Active,April-22-2018 12:30 PM,April-22-2018 02:30 PM,http://www.redfin.com/MD/Silver-Spring/1121-University-Blvd-W-20902/unit-318-B/home/145326286,MRIS,MC10209781,N,Y,39.0384614,-77.0282214
MLS Listing,,Townhouse,1414 Barton St S #447,Arlington,VA,22204,285000,1,1.0,Arlington Village,800,,1939,7,356,370,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Arlington/1414-S-Barton-St-22204/unit-447/home/11273237,MRIS,AR10209752,N,Y,38.8590933,-77.083546
